,Unnamed: 0,Kezelés,Helyrajzi és albetétszám,Cím,Lépcsőház,Emelet,Ajtó,Besorolási kategória,Negyed,2022szept_állapot,2023nov_állapot,Mőszaki állapot,Terület,Épületen belüli fekvés,Ü/Nü dátum,Tárgyhó KK,Mérőóra fajták,Aljogcím,Meddig,Aktuális hó bérleti / használati díj,Éves bérleti és / vagy használati díj,lat,lon
613,1173,Társasház,36559/10/A/1,Puskin u. 19,1. lp.,Pi.,UZ/1,3,Palotanegyed,Üres,Üres,Rossz állapotú,169.0,UDP,10/12/2012,50550.0,"áram, víz",,,0.0,0.0,47.4924089,19.0634134
616,1182,Társasház,36546/A/2,Rákóczi út 13,,Pi.,OV,2,Palotanegyed,Üres,Üres,Rossz állapotú,55.0,UDP,4/8/2008,14534.0,,,,0.0,0.0,47.494882,19.0633225
628,1210,Önkormányzati bérház,35219/A/22,Rigó u. 4,,Pi.,1.,2,Csarnok negyed,Üres,Üres,Rossz állapotú,38.14,UCP,10/27/2012,0.0,"áram, víz",,,0.0,0.0,47.4907895,19.0731648
635,1224,Társasház,34893/A/18,Salétrom u. 10,,Pi.,RA/1,3,Csarnok negyed,Üres,Üres,Rossz állapotú,46.0,UCP,7/31/2018,18630.0,"áram, víz",,,0.0,0.0,47.4912278,19.0723104
637,1228,Önkormányzati bérház,36005//0,Sárkány u. 11,,Pi.,jobb UCP 1,4,Orczy negyed,Üres,Üres,Rossz állapotú,38.0,UCP,11/14/2013,0.0,"áram, víz",,,0.0,0.0,47.4853483,19.0919177
641,1233,Társasház,36476/A/18,Scheiber S. u. 3,,Fsz.,UZ/2,2,Palotanegyed,Kiadott,Üres,Közepes állapotú,31.0,UCH,5/1/2004,8077.0,"áram, víz",,,0.0,232053.0,47.4932981,19.0703843
650,1255,Társasház,36438/A/42,Stáhly u. 1,,as.,MU/42,3,Palotanegyed,Üres,Üres,Rossz állapotú,69.0,UCP,2/3/2014,23278.0,áram,,,0.0,0.0,47.4947348,19.0665142
652,1263,Társasház,38839/11/F/1,"Strobl A. u. 7/d,g,h,",G. lp.,Pi.,OV,4,Százados negyed,Üres,Üres,Közepes állapotú,246.0,UCP,1/1/2000,36630.0,víz,,,0.0,0.0,47.4960629,19.1046031
653,1264,Társasház,38862/3/A/10,Százados út 30/a,,as.,RA/10,3,Százados negyed,Üres,Üres,Rossz állapotú,30.65,UCP,2/9/1999,8950.0,,,,0.0,0.0,47.4924591,19.108271
654,1268,Önkormányzati bérház,38837/4//0,Százados út 3-13.,4. ép.,Fsz.,7/A.,3,Százados negyed,Kiadott,Üres,Közepes állapotú,61.0,UDH (földszinti),2/13/2018,0.0,,Bérlő,határozatlan ideig,11129.0,133548.0,47.4986973,19.1061996
656,1273,Önkormányzati bérház,35496//0,Szigetvári u. 4,,Pi.,UDP,4,Magdolna negyed,Üres,Üres,Rossz állapotú,40.0,UDP,1/1/2000,0.0,,,,0.0,0.0,47.4897912,19.0827919
667,1290,Társasház,35323/A/1,Szerdahelyi u. 1,,Pi.,1.,4,Magdolna negyed,Üres,Üres,Rossz állapotú,97.0,UDP,1/1/2000,69549.0,,,,0.0,0.0,47.4917783,19.0815142
681,1311,Társasház,35920/A/22,Szeszgyár u. 5,,Fsz.,RA,4,Orczy negyed,Üres,Üres,Rossz állapotú,41.0,UCH,8/27/2009,10250.0,víz,,,0.0,0.0,47.4892226,19.0893133
686,1328,Önkormányzati bérház,36204//0,Szigony u. 39,,Fsz.,jobb UCH,3,Corvin negyed,Üres,Üres,Rossz állapotú,44.0,UCH,9/7/2007,0.0,,,,0.0,0.0,47.4844458,19.0799112
687,1332,Társasház,34688/A/23,Szilágyi u. 1/b,,Pi.,1.,4,Népszínház negyed,Kiadott,Üres,Rossz állapotú,140.0,UCP,6/5/2018,351680.0,víz,,,0.0,347031.0,47.4956385,19.0757172
690,1342,Társasház,35256/A/39,Szőz u. 5-7,,Pi.,RA/39,3,Csarnok negyed,Üres,Üres,Rossz állapotú,125.0,UCP,7/5/2007,58750.0,"áram, víz",,,0.0,0.0,47.490099,19.0780754
692,1344,Társasház,35170/A/1,Tavaszmező u. 10,,Pi.,UZ/1,2,Csarnok negyed,Üres,Üres,Rossz állapotú,182.0,UCP,7/8/2008,82731.0,"gáz, víz",,,0.0,0.0,47.490844,19.0773795
695,1355,Társasház,34734/A/24,Teleki tér 16,,Fsz.,UZ/1,3,Népszínház negyed,Kiadott,Üres,Jó állapotú,16.0,UCH,5/18/2015,7700.0,"áram, víz",,,0.0,0.0,47.4945967,19.0842007
705,1376,Önkormányzati bérház,34933//0,Tolnai L. u. 21,,as.,1.,3,Csarnok negyed,Üres,Üres,Rossz állapotú,23.0,UDH (földszinti),1/1/1990,0.0,,,,0.0,0.0,47.4937396,19.0742831
713,1391,Társasház,36139/1/A/1,Tömő u. 32-38,,Fsz.,UZ/1,3,Losonci negyed,Üres,Üres,Közepes állapotú,30.0,UCH,4/3/2017,7854.0,"áram, hőmennyiség",,,0.0,0.0,47.4852655,19.0804915
723,1409,Társasház,36764/A/3,Üllői út 18,,Fsz.,UZ/3,1,Palotanegyed,Üres,Üres,Közepes állapotú,28.0,UCH,1/15/2021,7588.0,,,,0.0,0.0,47.4882205,19.0651406
734,1435,Társasház,36274/A/4,Üllői út 66/a,,Fsz.,ÜZ/4,1,Corvin negyed,Üres,Üres,Közepes állapotú,29.0,UCH,6/27/2022,6480.0,"áram, víz",,,0.0,0.0,47.4841115,19.0758554
740,1444,Társasház,38793/7/A/139,Vajda P. u. 7-13,7. lp.,Fsz.,IR/139,3,Tisztviselőtelep,Üres,Üres,Közepes állapotú,66.0,UCH,8/2/2021,23364.0,"áram, víz",,,0.0,0.0,47.4852475,19.094011
742,1449,Önkormányzati bérház,35599//0,Vajdahunyad u. 11,,Pi.,UCP,3,Corvin negyed,Üres,Üres,Rossz állapotú,46.0,UCP,1/1/2000,0.0,víz,,,0.0,0.0,47.48810779999999,19.0731838
748,1458,Társasház,34930/A/33,Víg u. 18,,Pi./Fsz.,RA/33,3,Csarnok negyed,Üres,Üres,Rossz állapotú,136.0,UCH+UCP,12/9/2020,51084.0,"áram, gáz",,,0.0,186813.0,47.4937908,19.0735169
753,1463,Társasház,34872/A/41,Vásár u. 2,,Pi.,2.,3,Csarnok negyed,Üres,Üres,Rossz állapotú,68.0,UCP,11/6/2008,24168.0,,,,0.0,0.0,47.493342,19.072633
756,1467,Önkormányzati bérház,34762//0,Vay Á. u. 6,,Pi.,UCP,4,Népszínház negyed,Üres,Üres,Rossz állapotú,33.0,UCP,11/10/2009,0.0,áram,,,0.0,0.0,47.4947593,19.0795324
767,1497,Társasház,35941/A/1,Visi I. u. 10,,Pi.,1.,4,Orczy negyed,Üres,Üres,Közepes állapotú,135.0,UCP,1/1/2000,35100.0,víz,,,0.0,0.0,47.4880095,19.0909335
