,Kezelés,Helyrajzi és albetétszám,Cím,Lépcsőház,Emelet,Ajtó,Besorolási kategória,Negyed,2022szept_állapot,2023nov_állapot,Mőszaki állapot,Terület,Épületen belüli fekvés,Ü/Nü dátum,Tárgyhó KK,Mérőóra fajták,Aljogcím,Meddig,Aktuális hó bérleti / használati díj,Éves bérleti és / vagy használati díj
1049,Társasház,34764/A/1,Népszínház u. 38,,Pi.,OV,3,Népszínház negyed,Üres,Üres,Rossz állapotú,188.0,UCP,1/1/2000,57200.0,víz,,,0.0,0.0
1050,Társasház,34764/A/2,Népszínház u. 38,,Fsz./Pi.,UZ/1,3,Népszínház negyed,Üres,Üres,Rossz állapotú,58.0,UCH+UCP,12/19/2018,36520.0,"áram, gáz, víz",,,0.0,0.0
1053,Társasház,34749/A/40,Népszínház u. 40,,Pi.,UZ/2,3,Népszínház negyed,Üres,Üres,Rossz állapotú,88.0,UCP,11/8/2016,36168.0,"áram, víz",,,0.0,0.0
1054,Társasház,34749/A/41,Népszínház u. 40,,Pi.,UZ/3,3,Népszínház negyed,Üres,Üres,Rossz állapotú,63.0,UCP,11/8/2016,25893.0,,,,0.0,0.0
1056,Társasház,34745/A/1,Népszínház u. 42-44,,Pi.,UZ/1,3,Népszínház negyed,Üres,Üres,Rossz állapotú,59.0,UDP,1/1/2000,18880.0,víz,,,0.0,0.0
1057,Társasház,34745/A/2,Népszínház u. 42-44,,Fsz./Pi.,UZ/2,3,Népszínház negyed,Üres,Üres,Rossz állapotú,275.0,UCH+UCP,1/26/2009,88000.0,víz,,,0.0,0.0
1059,Társasház,34745/A/5,Népszínház u. 42-44,,Fsz.,UZ/5,3,Népszínház negyed,Kiadott,Üres,Közepes állapotú,80.0,UCH,7/1/2006,25600.0,"áram, gáz, víz",,,0.0,183327.0
1062,Társasház,35070/A/51,Népszínház u. 45,,Pi.,OV,3,Magdolna negyed,Üres,Üres,Rossz állapotú,172.0,UDP,10/12/2005,47740.0,víz,,,0.0,0.0
1063,Társasház,34744/A/1,Népszínház u. 46,,Pi.,UZ/1,3,Népszínház negyed,Üres,Üres,Rossz állapotú,141.26,UCP,2/1/2001,78260.0,"gáz, víz",,,0.0,0.0
1064,Társasház,34744/A/12,Népszínház u. 46,,Pi.,UZ/12,3,Népszínház negyed,Üres,Üres,Rossz állapotú,100.25,UCP,5/31/2010,55470.0,víz,,,0.0,0.0
1066,Társasház,35105/A/35,Népszínház u. 57,,Fsz.,IR/2,3,Magdolna negyed,Kiadott,Üres,Közepes állapotú,17.0,UCH,7/21/2020,5151.0,"áram, víz",,,0.0,0.0
1068,Társasház,38745/2/A/1,Orczy út 16,,Pi.,1.,3,Tisztviselőtelep,Üres,Üres,Rossz állapotú,68.0,UDP,6/29/2020,14280.0,"áram, gáz, víz",,,0.0,0.0
1081,Társasház,35946/A/60,Orczy út 43,,as.,60.,3,Orczy negyed,Üres,Üres,Rossz állapotú,45.6,UCH,7/24/2008,8143.0,,,,0.0,0.0
1084,Társasház,35944/A/64,Orczy út 45,,Pi.,MU,3,Orczy negyed,Üres,Üres,Rossz állapotú,165.0,UCP,7/29/2008,18392.0,,,,0.0,0.0
1087,Társasház,35184/A/1,őr u. 6,,Pi.,MÜ/1,3,Csarnok negyed,Üres,Üres,Rossz állapotú,57.0,UCP,12/4/2017,34510.0,"áram, víz",,,0.0,0.0
1088,Társasház,35184/A/2,őr u. 6,,Pi.,RA/1,3,Csarnok negyed,Üres,Üres,Rossz állapotú,48.0,UCP,8/26/2019,29050.0,"áram, víz",,,0.0,0.0
1089,Társasház,35190/A/1,őr u. 9,,Pi.,1.,3,Csarnok negyed,Üres,Üres,Közepes állapotú,177.0,UCP,12/7/2020,58410.0,"áram, víz",,,0.0,0.0
1091,Társasház,36793/A/1,Pál u. 3,,Pi.,MU,3,Palotanegyed,Üres,Üres,Rossz állapotú,103.0,UCP,1/25/2010,59225.0,"áram, víz",,,0.0,0.0
1093,Társasház,36794/A/1,Pál u. 5,,Pi.,RA,3,Palotanegyed,Üres,Üres,Közepes állapotú,90.0,UCP,7/1/2007,24508.0,víz,,,0.0,0.0
1100,Társasház,36380/A/1,Práter u. 19,,Pi.,RA/1,2,Corvin negyed,Üres,Üres,Rossz állapotú,79.0,UCP,10/8/2008,21504.0,víz,,,0.0,0.0
1101,Társasház,36380/A/2,Práter u. 19,,Pi.,RA/2,2,Corvin negyed,Üres,Üres,Rossz állapotú,40.0,UCP,9/30/2010,10976.0,víz,,,0.0,0.0
1105,Társasház,35682/A/17,Práter u. 22,,Fsz.,IR/1,2,Corvin negyed,Kiadott,Üres,Közepes állapotú,172.0,UCH,1/2/2013,46617.0,"áram, gáz, víz",,,0.0,0.0
1106,Társasház,35682/A/18,Práter u. 22,,Fsz.,IR/2,2,Corvin negyed,Kiadott,Üres,Közepes állapotú,24.0,UCH,1/2/2013,6396.0,"áram, gáz",,,0.0,0.0
1107,Társasház,35682/A/19,Práter u. 22,,Fsz.,IR/3,2,Corvin negyed,Kiadott,Üres,Közepes állapotú,33.0,UDH (földszinti),1/2/2013,9061.0,gáz,,,0.0,0.0
1108,Társasház,35682/A/20,Práter u. 22,,Fe.,IR/4,2,Corvin negyed,Kiadott,Üres,Közepes állapotú,167.0,UCH,1/2/2013,45264.0,,,,0.0,0.0
1109,Társasház,35695/A/5,Práter u. 28,,Fsz.,5.,2,Corvin negyed,Üres,Üres,Rossz állapotú,46.0,UCH,9/11/2019,8750.0,"áram, víz",,,0.0,0.0
1112,Társasház,36325/A/2,Práter u. 29/b,,Pi.,RA,2,Corvin negyed,Üres,Üres,Közepes állapotú,30.0,UDP,12/17/2015,9240.0,"gáz, víz",,,0.0,0.0
1117,Társasház,35696/A/52,Práter u. 30-32,,Fsz.,ÜZ/4,2,Corvin negyed,Kiadott,Üres,Jó állapotú,76.0,UCH,5/30/2013,25080.0,"áram, hőmennyiség, víz",,,0.0,1888917.0
1122,Társasház,35709/A/5,Práter u. 34,,Fsz.,H/5,2,Corvin negyed,Üres,Üres,Rossz állapotú,30.0,UCH,9/7/2020,10110.0,"áram, víz",,,0.0,0.0
1123,Társasház,35709/A/7,Práter u. 34,,Fsz.,H/8,2,Corvin negyed,Kiadott,Üres,Rossz állapotú,32.0,UDH (földszinti),2/1/2022,10784.0,"áram, víz",,,0.0,0.0
1125,Társasház,36291/A/2,Práter u. 37,,Pi.,IR,2,Corvin negyed,Üres,Üres,Közepes állapotú,110.0,UCP,2/9/2018,30250.0,áram,,,0.0,0.0
1126,Társasház,36291/A/4,Práter u. 37,,Fsz.,UZ,2,Corvin negyed,Üres,Üres,Jó állapotú,46.0,UCH,11/23/2016,12650.0,"áram, gáz, víz",,,0.0,0.0
1130,Önkormányzati bérház,36225/A/1,Práter u. 55,,as.,ÜZ,2,Corvin negyed,Kiadott,Üres,Jó állapotú,56.0,UCH,8/17/2016,0.0,"áram, gáz, víz",,,0.0,599916.0
1137,Társasház,35728/17/A/197,Práter u. 58,,XVII.,IR,2,Losonci negyed,Üres,Üres,Közepes állapotú,166.0,UDH (emeleti),8/12/2003,29216.0,"hőmennyiség, víz",,,0.0,0.0
1141,Társasház,35728/18/A/195,Práter u. 60,,Fsz.,UZ/195,2,Losonci negyed,Üres,Üres,Közepes állapotú,52.0,UCH,8/14/2014,10920.0,"áram, hőmennyiség, víz",,,0.0,0.0
1158,Társasház,36118/A/35,Práter u. 67,,Pi.,MU/1,2,Losonci negyed,Üres,Üres,Rossz állapotú,28.0,UCP,8/30/2021,5621.0,"áram, víz",,,0.0,0.0
1160,Társasház,36118/A/37,Práter u. 67,,Pi.,MU/2,2,Losonci negyed,Üres,Üres,Közepes állapotú,47.0,UCP,5/29/2007,9417.0,"áram, víz",,,0.0,0.0
